wavelength_nm,frequency_THz,power_dBm
1566.83,191.33694019134174,-59.6858114
1566.831,191.33681807418924,-59.4317154
1566.832,191.33669595719255,-59.1780461
1566.833,191.3365738403518,-58.9497298
1566.834,191.33645172366695,-58.679178
1566.835,191.33632960713794,-58.4329357
1566.836,191.33620749076482,-58.1228761
1566.837,191.33608537454757,-57.9248417
1566.838,191.3359632584862,-57.6310321
1566.839,191.33584114258068,-57.3202911
1566.84,191.33571902683107,-57.1756072
1566.8410000000001,191.33559691123727,-56.9246114
1566.842,191.3354747957994,-56.694272
1566.843,191.33535268051745,-56.3845054
1566.8439999999998,191.33523056539133,-56.3742621
1566.845,191.33510845042105,-56.1212258
1566.846,191.33498633560666,-56.1060902
1566.847,191.3348642209482,-55.8451361
1566.848,191.33474210644556,-55.8639947
1566.8490000000002,191.33461999209874,-55.6630034
1566.8500000000001,191.33449787790786,-55.7526016
1566.8509999999999,191.3343757638729,-55.7188666
1566.8519999999999,191.33425364999374,-56.0909764
1566.853,191.33413153627043,-56.0781102
1566.854,191.33400942270305,-56.1936775
1566.855,191.33388730929153,-56.2989675
1566.856,191.33376519603587,-56.4016903
1566.857,191.33364308293608,-56.5472109
1566.8580000000002,191.33352096999212,-56.6617667
1566.859,191.33339885720412,-56.8751712
1566.86,191.33327674457198,-56.8655669
1566.8609999999999,191.3331546320956,-57.2369082
1566.862,191.33303251977514,-57.005986
1566.863,191.3329104076106,-57.3663071
1566.864,191.33278829560192,-57.2776963
1566.865,191.33266618374907,-57.7159313
1566.8660000000002,191.33254407205206,-57.5267751
1566.867,191.332421960511,-57.8576184
1566.868,191.33229984912577,-57.5076218
1566.869,191.33217773789642,-57.9713523
1566.87,191.3320556268229,-57.69928
1566.871,191.33193351590523,-58.0996334
1566.872,191.33181140514347,-57.7317804
1566.873,191.3316892945376,-57.9990806
1566.8739999999998,191.33156718408756,-57.5121985
1566.875,191.33144507379336,-58.053103
1566.876,191.33132296365505,-57.8523382
1566.877,191.3312008536726,-58.3894314
1566.878,191.33107874384604,-57.8763206
1566.8790000000001,191.33095663417527,-58.0688819
1566.88,191.33083452466045,-57.6323289
1566.881,191.33071241530146,-58.0194047
1566.8819999999998,191.33059030609837,-57.9206996
1566.883,191.33046819705106,-58.2713639
1566.884,191.33034608815964,-57.7351545
1566.885,191.33022397942415,-57.6058803
1566.886,191.33010187084446,-57.3200468
1566.887,191.32997976242066,-57.5480793
1566.8880000000001,191.32985765415265,-57.6165707
1566.8890000000001,191.32973554604055,-57.4220754
1566.8899999999999,191.32961343808438,-56.9218867
1566.8909999999998,191.329491330284,-56.3816968
1566.892,191.32936922263943,-56.4770293
1566.893,191.32924711515076,-56.4163228
1566.894,191.329125007818,-56.8446676
1566.895,191.32900290064106,-56.2095564
1566.8960000000002,191.32888079361996,-56.1831731
1566.897,191.32875868675475,-55.2847522
1566.898,191.32863658004544,-55.76402
1566.899,191.3285144734919,-55.4085185
1566.9,191.32839236709424,-56.2489477
1566.901,191.32827026085243,-55.1744768
1566.902,191.32814815476652,-55.4492197
1566.903,191.32802604883648,-54.3394894
1566.904,191.3279039430622,-55.3214983
1566.905,191.32778183744387,-54.6073328
